,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href formula,Case Number.2
10,24-May-2018,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark,"ABC.net.au ,05/24/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf,2018.05.24
11,21-May-2018,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Injuries to lower right leg and foot,N,0,0,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf,2018.05.21
12,13-May-2018,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15h00,0,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf,2018.05.13.b
13,13-May-2018,2018,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf,2018.05.13.a
14,May 2018,2018,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,0,"Tawny nurse shark, 2m","Perth Now, 6/30/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf,2018.05.00
15,12-May-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,0,"Minor injury, marks on board",N,11h00,0,"B.Jacob, Dispatch Live, 5/12/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf,2018.05.12
16,09-May-2018,2018,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,0,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf,2018.05.09
17,Reported 30-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,0,Minor injury to ankle,N,0,0,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf,2018.04.30.R
18,28-Apr-2018,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark,Costa Rica Star. 4/28/2018,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf,2018.04.28.b
19,28-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,0,"No injury, knocked off board by shark",N,16h50,0,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf,2018.04.28.a
20,25-Apr-2018,2018,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,0,No injury,N,07h00,Questionable,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf,2018.04.25.b
21,25-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf,2018.04.25.a
22,24-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,0,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf,2018.04.24
23,23-Apr-2018,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf,2018.04.23
24,22-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m","Africa News Agency, 4/22/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf,2018.04.22
25,19-Apr-2018,2018,Unprovoked,USA,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,0,6' shark,"The Garden Island, 4/19/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf,2018.04.19
26,15-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,0,Juvenile bull shark,"Straits Times, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf,2018.04.15.d
27,15-Apr-2018,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",0,0,0,"Globo, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf,2018.04.15.c
28,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,0,0,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf,2018.04.15.b
29,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08h00,0,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf,2018.04.15.a
30,14-Apr-2018,2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,0,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark,"Tribune242,",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff,2018.04.14
31,Reported 10-Apr-2018,2018,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,0,Shark involvement not confirmed,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf,2018.04.10.R
32,09-Apr-2018,2018,Unprovoked,NEW CALEDONIA,0,"Magenta Beach, Noumea",Windsurfing,0,0,"No injury, shark bit board",N,17h00,2 m shark,"Les Nouvelles Caledoniennes, 4/10/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf,2018.04.09
33,05-Apr-2018,2018,Unprovoked,BAHAMAS,0,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf,2018.04.05
34,03-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf,2018.04.03
35,31-Mar-2018,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'","Khon2, 3/31/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf,2018.03.31
36,14-Mar-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf,2018.03.14
37,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf,2018.03.09.b
38,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf,2018.03.09.a
39,24-Feb-2018,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,0,Blacktip shark,"International Business Times, 3/1/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf,2018.02.24
40,23-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf,2018.02.23
41,18-Feb-2018,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,0,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf,2018.02.17
42,15-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf,2018.02.15
43,14-Feb-2018,2018,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,0,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong,"Sunshine Coast Daily, 2/15/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf,2018.02.14
44,11-Feb-2018,2018,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,0,"Injury believed caused by an eel, not a shark",TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf,2018.02.11
45,03-Feb-2018,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,0,Galapagos shark?,"The Standard (UK), 2/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf,2018.02.03
46,01-Feb-2018,2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,0,2m shark,"The West Australian, 2/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf,2018.02.01
47,28-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,0,M,18,Injuries to right leg,N,08h00,Bull shark,"ABC.net.au, 01/28/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf,2018.01.28
48,21-Jan-2018,2018,Unprovoked,NEW CALEDONIA,0,Nouville,Spearfishing,M,40s,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m ",TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf,2018.01.21
49,14-Jan-2018,2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,0,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf,2018.01.14
50,13-Jan-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,0,"White shark, 3.5 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf,2018.01.13
51,12-Jan-2018,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf,2018.01.12
52,05-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,0,Foot bitten,N,0,Wobbegong shark?,"Perth Now, 1/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf,2018.01.05
53,31-Dec-2017,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark,"J. Howard, Surfling Now, 1/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf,2017.12.31
54,30-Dec-2017,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12h00,0,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf,2017.12.30
55,21-Dec-2017,2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,0,Juvenile nurse shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf,2017.12.21
56,09-Dec-2017,2017,Unprovoked,BAHAMAS,0,0,Snorkeling,F,25,Minor injury to arm,N,0,Nurse shark. 5',"Daily Star, 12/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf,2017.12.09
57,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,0,"Tiger shark, female",R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf,2017.11.30.b
58,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,Y,0,"Tiger shark, female",R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf,2017.11.30.a
59,Reported 25-Nov-2017,2017,Sea Disaster,LIBYA,0, Gars Garabulli,2 boats capsized,0,0,FATAL,Y,0,Some drowned but other may have been killed by blue sharks,"TG Com 24, 11/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf,2017.11.25.R
60,24-Nov-2017,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf,2017.11.24
61,18-Nov-2017,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,Late afternoon,0,"Florida Today, 11/21/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf,2017.11.18
62,Reported 13-Nov-2017,2017,Unprovoked,0,0,0,Surfing,M,24,Puncture wounds to feet,N,0,0,Instagram,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf,2017.11.13.R
63,13-Nov-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf,2017.11.13
64,04-Nov-2017,2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,23h30,Tiger shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf,2017.11.04
65,Reported 31-Oct-2017,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,0,Cookiecutter shark,"Townsville Bulletin, 10/31/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf,2017.10.31.R
66,28-Oct-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf,2017.10.28
67,26-Oct-2017,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,0,No injury but shark bit SUP,N,15h00,0,"Hawaii News Now, 10/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf,2017.10.26
68,23-Oct-2017,2017,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,0,Minor injury to foot,N,Afternoon,0,"J. LeBlanc, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf,2017.10.23.c
69,23-Oct-2017,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,N,17h00,0,"WPBF News, 10/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf,2017.10.23.b
70,23-Oct-2017,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00,0,"Palm Beach Post, 11/1/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf,2017.10.23.a
71,22-Oct-2017,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m","Nine News, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf,2017.10.22
72,21-Oct-2017,2017,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,0,"No injury, shark shook kayak x3 ",N,09h00,2 m shark,"New Zealand Herald, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21-Lomas.pdf,2017.10.21
73,18-Oct-2017,2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,0,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet","WPTV, 10/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.18-Iribam.pdf,2017.10.18
74,09-Oct-2017,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet","Hawaii News Now, 10/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.09-Milan.pdf,2017.10.09
75,05-Oct-2017,2017,Unprovoked,USA,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,12h30,8' shark,"Maui Now, 10/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.05-Hawaii.pdf,2017.10.05
76,01-Oct-2017,2017,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,31,FATAL,0,0,Death may have been due to drowning,"All Africa, 10/11/2017 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.01-Fick.pdf,2017.10.01
77,25-Sep-2017,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,0,Lacerations to lower left leg and foot,N,Morning,5' shark,"News4Jax, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.b-White.pdf,2017.09.25.b
78,25-Sep-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,0,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m","Stab Magazine, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.a-Vissers.pdf,2017.09.25.a
79,24-Sep-2017,2017,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",0,15h30,Questionable,"S. Curatolo-Wageman, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.b-Behrend.pdf,2017.09.24.b
80,24-Sep-2017,2017,Unprovoked,USA,Florida,Fort Worth,Surfing,M,0,Laceration to upper arm,N,14h00,4' to 5' shark,"Sun Sentinel, 9/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.a-FortWorth.pdf,2017.09.24.a
81,20-Sep-2017,2017,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,0,Minor lacerations to sole of left foot,N,Morning,0,"WPTV, 9/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.20-Inniss.pdf,2017.09.20
82,16-Sep-2017,2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,N,0,"Porbeagle, 1.5 m",Turismo La Aldea,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.b-GrandCanary.pdf,2017.09.16.b
83,16-Sep-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,16h30,0,"Orlando Sentinel, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf,2017.09.16.a
84,15-Sep-2017,2017,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",0,Afternoon,0,"Ground Up, 9/20/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf,2017.09.15.b
85,15-Sep-2017,2017,,SAMOA, Upolu Island,Nofoali’i,Fishing,M,0,Injuries to hands and legs,N,Night,0,"Samoa Observer, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.a-Samoa.pdf,2017.09.15.a
86,Sep-2017,2017,Boat,AUSTRALIA,Westerm Australia,Esperance,Fishing,0,0,"sharks rammed boats, no injury to occupants",N,0,"White shark, 3.5m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf,2017.09.14
87,13-Sep-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,18h45,5' to 6' shark,"TrackingSharks.com, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.13-Loyd.pdf,2017.09.13
88,10-Sep-2017,2017,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,0,Minor injuries,N,15h00,0,"West Australian, 9/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.b-Samson.pdf,2017.09.10.b
89,10-Sep-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m ","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.a-McGrath.pdf,2017.09.10.a
90,Reported 06-Sep-2017,2017,Unprovoked,SOLOMON ISLANDS,0,Owarigi Island,Spearfishing,M,0,Foot bitten,N,0,0,BBC,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.06-Bartholomew.pdf,2017.09.06.R
91,03-Sep-2017,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,0,FATAL,Y,Morning,0,"All Africa, 10/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.b-Xelela.pdf,2017.09.03.b
92,03-Sep-2017,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10h00,0,"Japan Today, 9/4/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.a-Japan.pdf,2017.09.03.a
93,02-Sep-2017,2017,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,0,Lacerations to abdomen,N,0,Nurse shark,NewsFlare,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.c-Maccarty.pdf,2017.09.02.c
